galnum,SNtype,name
1,Ic-BL,10xem
2,Ic,10wal
3,Ic,09iqd
4,Ic,10xik
5,Ic,10ood
6,uncertain,10svt
7,Ic,12ktu
8,Ic,12jxd
9,Ic-BL,12as
10,Ic-BL,10aavz
11,Ic-BL,10bzf
12,uncertain,10gvb
13,other,09q
14,Ic,10hfe
15,Ic-BL,10ciw
16,uncertain,10bip
17,Ic,11rka
18,Ic,10bhu
19,Ic,11bov
20,Ic,10lbo
21,Ic-BL,11cmh
22,Ic-BL,11qcj
23,Ic,11ixk
24,Ic-BL,09sk
25,other,10acbu
26,Ic,12cjy
27,Ic,10fmx
28,Ic,12fgw
29,other,09dzt
30,Ic,12dcp
31,uncertain,09ps
32,Ic,11jgj
33,Ic-BL,10qts
34,Ic,10hie
35,Ic,12dtf
36,Ic-BL,11img
37,Ic,12hvv
38,other,12elh
39,Ic,10yow
40,Ic,11klg
41,Ic-BL,10vgv
42,Ic,10qqd
43,uncertain,12hni
44,Ic-BL,10tqv
45,Ic,10zcn
46,Ic,10tqi
47,Ic,10osn
48,Ic,11hyg
49,Ic,10ysd
50,Ic-BL,11lbm
51,Ic-BL,11gcj
52,uncertain,12gzk
